index,wall_time,step,value
0,1739231734.9118485,0,0.0
1,1739231766.5699847,2,0.0
2,1739231785.105217,3,0.0
3,1739231787.3203804,5,0.0
4,1739231797.897241,7,0.0
5,1739231799.0019696,8,0.0
6,1739231804.8738337,10,0.0
7,1739231908.794521,13,0.0
8,1739231911.005758,15,0.0
9,1739231912.1300693,16,0.0
10,1739231913.234939,17,0.0
11,1739231917.2704332,19,0.0
12,1739231923.8290079,21,0.0
13,1739231970.0037036,22,0.0
14,1739231974.689011,23,0.0
15,1739231976.2230184,24,0.0
16,1739231978.4280372,26,0.0
17,1739231980.662439,28,0.0
18,1739231981.78651,29,0.0
19,1739231982.8988326,30,0.0
20,1739231986.4995377,32,0.0
21,1739232015.3997684,35,0.0
22,1739232016.7129247,36,0.0
23,1739232017.8115637,37,0.0
24,1739232018.9104652,38,0.0
25,1739232020.0162568,39,0.0
26,1739232021.1367395,40,0.0
27,1739232024.8722095,42,0.0
28,1739232025.99204,43,0.0
29,1739232045.6214886,44,0.0
30,1739232052.8849359,45,0.0
31,1739232054.0023303,46,0.0
32,1739232055.100926,47,0.0
33,1739232057.3777535,49,0.0
34,1739232058.4973922,50,0.0
35,1739232059.6094635,51,0.0
36,1739232060.727888,52,0.0
37,1739232061.836248,53,0.0
38,1739232062.9473655,54,0.0
39,1739232071.9720635,55,0.0
40,1739232073.9432411,56,0.0
41,1739232078.575778,60,0.0
42,1739232079.6760528,61,0.0
43,1739232080.7848,62,0.0
44,1739232082.309677,63,0.0
45,1739232084.528621,65,0.0
46,1739232088.1477485,66,0.0
47,1739232091.745316,67,0.0
48,1739232092.8562922,68,0.0
49,1739232093.9705317,69,0.0
50,1739232096.507114,71,0.0
51,1739232097.6290388,72,0.0
52,1739232099.916894,74,0.0
53,1739232102.222468,76,0.0
54,1739232103.3406284,77,0.0
55,1739232105.6842184,78,0.0
56,1739232106.8609998,79,0.0
57,1739232107.9896836,80,0.0
58,1739232109.0962014,81,0.0
59,1739232110.2015252,82,0.0
60,1739232111.3104794,83,0.0
61,1739232112.4845486,84,0.0
62,1739232113.6041484,85,0.0
63,1739232115.8344314,87,0.0
64,1739232121.2850153,89,0.0
65,1739232122.409817,90,0.0
66,1739232124.9996378,92,0.0
67,1739232126.1206014,93,0.0
68,1739232127.221709,94,0.0
69,1739232128.3278832,95,0.0
70,1739232129.4473426,96,0.0
71,1739232131.6729865,98,0.0
72,1739232135.4761293,99,0.0
73,1739232140.7621021,100,0.0
74,1739232141.8868234,101,0.0
75,1739232144.1051793,103,0.0
76,1739232145.2598631,104,0.0
77,1739232146.457877,105,0.0
78,1739232147.7117472,106,0.0
79,1739232148.829864,107,0.0
80,1739232151.1545813,109,0.0
81,1739232154.016439,111,0.0
82,1739232155.1288095,112,0.0
83,1739232156.330715,113,0.0
84,1739232158.7596612,115,0.0
85,1739232159.8733306,116,0.0
86,1739232162.227241,118,0.0
87,1739232163.4451034,119,0.0
88,1739232164.6556375,120,0.0
89,1739232165.8361344,121,0.0
90,1739232166.9728212,122,0.0
91,1739232168.13363,123,0.0
92,1739232170.4414284,125,0.0
93,1739232172.7047048,127,0.0
94,1739232173.867108,128,0.0
95,1739232176.1333618,130,0.0
96,1739232177.2568192,131,0.0
97,1739232178.378355,132,0.0
98,1739232180.6282885,134,0.0
99,1739232181.75362,135,0.0
100,1739232182.8654792,136,0.0
101,1739232185.1058679,138,0.0
102,1739232186.236338,139,0.0
103,1739232187.3804164,140,0.0
104,1739232189.627218,142,0.0
105,1739232190.7443535,143,0.0
106,1739232191.8719754,144,0.0
107,1739232193.0303888,145,0.0
108,1739232194.1901922,146,0.0
109,1739232196.4672852,148,0.0
110,1739232197.5869303,149,0.0
111,1739232199.8462303,151,0.0
112,1739232200.975451,152,0.0
113,1739232202.11359,153,0.0
114,1739232203.2304094,154,0.0
115,1739232204.349569,155,0.0
116,1739232205.4821174,156,0.0
117,1739232206.606556,157,0.0
118,1739232207.7251914,158,0.0
119,1739232208.845506,159,0.0
120,1739232209.9583704,160,0.0
121,1739232211.0912526,161,0.0
122,1739232212.2437866,162,0.0
123,1739232214.5082428,164,0.0
124,1739232215.6383538,165,0.0
125,1739232219.6270971,167,0.0
126,1739232220.7550488,168,0.0
127,1739232224.1436493,171,0.0
128,1739232226.4139218,173,0.0
129,1739232227.5582201,174,0.0
130,1739232228.677511,175,0.0
131,1739232229.8036304,176,0.0
132,1739232236.6075237,182,0.0
133,1739232238.8883898,184,0.0
134,1739232240.0356038,185,0.0
135,1739232241.1675656,186,0.0
136,1739232242.3032737,187,0.0
137,1739232243.434707,188,0.0
138,1739232244.573066,189,0.0
139,1739232245.7312086,190,0.0
140,1739232246.8531268,191,0.0
141,1739232247.9795475,192,0.0
142,1739232249.1123886,193,0.0
143,1739232250.2445414,194,0.0
144,1739232251.381357,195,0.0
145,1739232253.6232023,197,0.0
146,1739232254.7527165,198,0.0
147,1739232255.8805344,199,0.0
148,1739232257.0011392,200,0.0
149,1739232258.1382318,201,0.0
150,1739232259.277857,202,0.0
151,1739232260.399101,203,0.0
152,1739232262.688783,205,0.0
153,1739232263.8230715,206,0.0
154,1739232266.0597,208,0.0
155,1739232268.3323045,210,0.0
156,1739232269.4598055,211,0.0
157,1739232270.6636686,212,0.0
158,1739232271.7872572,213,0.0
159,1739232272.9073324,214,0.0
160,1739232274.0377374,215,0.0
161,1739232275.1693408,216,0.0
162,1739232277.4723327,218,0.0
163,1739232278.6064205,219,0.0
164,1739232279.7415307,220,0.0
165,1739232280.862579,221,0.0
166,1739232281.9904,222,0.0
167,1739232283.1286013,223,0.0
168,1739232285.3686044,225,0.0
169,1739232286.5055025,226,0.0
170,1739232287.6374605,227,0.0
171,1739232289.9094641,229,0.0
172,1739232292.1679373,231,0.0
173,1739232293.2898412,232,0.0
174,1739232295.5473697,234,0.0
175,1739232296.6661606,235,0.0
176,1739232297.80045,236,0.0
177,1739232298.952019,237,0.0
178,1739232300.0959656,238,0.0
179,1739232301.2475955,239,0.0
180,1739232302.4061823,240,0.0
181,1739232304.6552246,242,0.0
182,1739232305.804388,243,0.0
183,1739232306.9205413,244,0.0
184,1739232308.0330331,245,0.0
185,1739232311.370829,248,0.0
186,1739232312.484678,249,0.0
187,1739232313.5995128,250,0.0
188,1739232314.711617,251,0.0
189,1739232315.8272474,252,0.0
190,1739232316.9394708,253,0.0
191,1739232318.0517344,254,0.0
192,1739232319.1624947,255,0.0
193,1739232320.2781222,256,0.0
194,1739232321.3962615,257,0.0
195,1739232323.6341207,259,0.0
196,1739232324.7467146,260,0.0
197,1739232326.9765327,262,0.0
198,1739232329.710947,265,0.0
199,1739232344.823845,265,0.0
200,1739232353.2788224,266,1.0
201,1739232354.463257,267,1.0
202,1739232355.6565652,268,1.0
203,1739232356.8559155,269,1.0
204,1739232358.0959382,270,1.0
205,1739232359.2765474,271,1.0
206,1739232360.4652867,272,1.0
207,1739232361.7052715,273,1.0
208,1739232363.9690437,275,1.0
209,1739232365.114245,276,1.0
210,1739232366.2635882,277,1.0
211,1739232367.386992,278,1.0
212,1739232368.5019612,279,1.0
213,1739232369.6188912,280,1.0
214,1739232371.8819966,282,1.0
215,1739232373.0029385,283,1.0
216,1739232374.1212842,284,1.0
217,1739232376.3823726,286,1.0
218,1739232377.5172856,287,1.0
219,1739232379.7743535,289,1.0
220,1739232380.889046,290,1.0
