index,wall_time,step,value
0,1739232345.9717114,265,0.8811835646629333
1,1739232666.388121,531,0.9126574993133545
2,1739232987.2343435,797,0.9224646687507629
3,1739233308.1546133,1063,0.9276746511459351
4,1739233629.7114086,1329,0.9313628077507019
5,1739233952.50153,1595,0.9325968027114868
6,1739234274.851357,1861,0.9357154369354248
7,1739234597.181767,2127,0.9339640140533447
8,1739234918.927906,2393,0.9381148219108582
9,1739235240.5908322,2659,0.9388552308082581
10,1739235562.8245842,2925,0.9405552744865417
11,1739235884.766591,3191,0.9413579702377319
12,1739236206.8899927,3457,0.9419938325881958
13,1739236527.95006,3723,0.9429988861083984
14,1739236849.8439298,3989,0.9431617259979248
15,1739237172.3617094,4255,0.9441011548042297
16,1739237494.7729428,4521,0.9445987939834595
17,1739237816.293462,4787,0.9449154734611511
18,1739238139.4684756,5053,0.944611132144928
19,1739238461.205208,5319,0.9457607865333557
20,1739238783.3190236,5585,0.9475995302200317
21,1739239105.4103587,5851,0.946979284286499
22,1739239426.7294612,6117,0.9473504424095154
23,1739239748.1912217,6383,0.9472720623016357
24,1739240069.635431,6649,0.9471156001091003
25,1739240390.684497,6915,0.9476959109306335
26,1739240713.611015,7181,0.9508007764816284
27,1739241035.4542525,7447,0.9521740674972534
28,1739241357.915176,7713,0.9519835710525513
29,1739241679.978875,7979,0.9526597857475281
30,1739242003.0289662,8245,0.9526152014732361
31,1739242326.462384,8511,0.9527525305747986
32,1739242649.3645082,8777,0.9529133439064026
33,1739242972.1976113,9043,0.9528704285621643
34,1739243295.275918,9309,0.9532222151756287
35,1739243618.1930263,9575,0.953599214553833
36,1739243939.891945,9841,0.9531844258308411
37,1739244262.1888208,10107,0.9535031914710999
38,1739244583.720855,10373,0.9532669186592102
39,1739244904.8869305,10639,0.9533235430717468
40,1739245226.5671492,10905,0.9536400437355042
41,1739245549.1198745,11171,0.9538865685462952
42,1739245871.08257,11437,0.954128086566925
43,1739246193.5050704,11703,0.9542062282562256
44,1739246515.4330184,11969,0.954273521900177
45,1739246837.3318548,12235,0.9539822936058044
46,1739247159.3990817,12501,0.9544128775596619
47,1739247481.316087,12767,0.9543364644050598
