index,wall_time,step,value
0,1738854098.7506647,265,0.8818795084953308
1,1738854424.9710073,531,0.916379988193512
2,1738854752.565141,797,0.9243965744972229
3,1738855079.1386452,1063,0.9297190308570862
4,1738855406.580743,1329,0.9327555298805237
5,1738855732.9557602,1595,0.9352710843086243
6,1738856059.6459646,1861,0.9360330700874329
7,1738856387.403916,2127,0.9377654194831848
8,1738856713.6696208,2393,0.9395421147346497
9,1738857040.7912452,2659,0.9399983286857605
10,1738857369.1900256,2925,0.9419281482696533
11,1738857695.8730743,3191,0.942400336265564
12,1738858023.792744,3457,0.9422654509544373
13,1738858351.0182323,3723,0.9435762763023376
14,1738858677.716111,3989,0.9451682567596436
15,1738859004.0651789,4255,0.9448223114013672
16,1738859330.4177656,4521,0.9446185827255249
17,1738859657.398019,4787,0.9462291598320007
18,1738859983.678074,5053,0.946553647518158
19,1738860309.4661362,5319,0.9455172419548035
20,1738860635.592142,5585,0.946508526802063
21,1738860962.2603538,5851,0.9472948908805847
22,1738861289.5303729,6117,0.9483665823936462
23,1738861616.8644242,6383,0.9469871520996094
24,1738861944.3810992,6649,0.9487020969390869
25,1738862270.7826407,6915,0.9491215944290161
26,1738862597.085884,7181,0.9493513107299805
27,1738862923.056186,7447,0.9489415287971497
28,1738863249.9251814,7713,0.9490947127342224
29,1738863577.1993816,7979,0.9495801329612732
30,1738863904.2806513,8245,0.95018470287323
31,1738864231.6915984,8511,0.9495992064476013
32,1738864558.6384914,8777,0.950712263584137
33,1738864884.5173814,9043,0.9508587718009949
34,1738865211.9736276,9309,0.9512589573860168
35,1738865539.454578,9575,0.9512501358985901
36,1738865866.3162496,9841,0.9509556293487549
37,1738866194.6304374,10107,0.9539187550544739
38,1738866521.7857683,10373,0.9549616575241089
39,1738866849.5080109,10639,0.955119252204895
40,1738867177.4157712,10905,0.9555283784866333
41,1738867505.307914,11171,0.9555578827857971
42,1738867832.7872553,11437,0.9554439783096313
43,1738868159.7760599,11703,0.9559699296951294
44,1738868486.7863288,11969,0.9560036659240723
45,1738868813.9369216,12235,0.9559946656227112
46,1738869142.284881,12501,0.9562589526176453
47,1738869470.0239205,12767,0.9558902382850647
48,1738869796.7431476,13033,0.9562485814094543
49,1738870123.8450572,13299,0.9563847184181213
50,1738870450.932546,13565,0.9564834237098694
51,1738870778.8146749,13831,0.9565050005912781
52,1738871106.6178632,14097,0.9566488862037659
53,1738871433.6151657,14363,0.9568963646888733
54,1738871760.7079132,14629,0.9572169780731201
55,1738872087.5219207,14895,0.9570842981338501
56,1738872414.727082,15161,0.957096517086029
57,1738872742.554031,15427,0.957187831401825
58,1738873070.244112,15693,0.9570912718772888
59,1738873397.4730349,15959,0.9571194052696228
60,1738873724.2035217,16225,0.9570431709289551
61,1738874051.5744033,16491,0.9571061730384827
62,1738874378.547337,16757,0.9571653008460999
63,1738874706.7614753,17023,0.957292914390564
64,1738875033.5432568,17289,0.956839382648468
